image,text
data/raw/book/1.png,یقین دہانی کے بعد کہ ناموس رسالت ﷺ کے قانون میں
data/raw/book/2.png,کسی بھی قسم کی ترمیم یا تبدیلی نہیں کی جا رہی ہے،
data/raw/book/3.png,اپنے مظاہروں کا سلسلہ ختم کر دیں۔ انہوں نے تمام تنظیمی ونگز
data/raw/book/4.png,اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اور کارکنوں
data/raw/book/5.png,سے کہا کہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی
data/raw/book/6.png,کے فروغ کیلئے گلی گلی کارنرز میٹنگز کا انعقاد کریں۔ انہوں
data/raw/book/7.png,نے ان خیالات کا اظہار ایم کیو ایم کے مرکز نائن
data/raw/book/8.png,زیرو پر ایم کیو ایم کے مختلف شعبہ جات کے ارکان
data/raw/book/9.png,کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے
data/raw/book/10.png,فکرانگیز خطاب میں الطاف حسین نے کہا کہ اسلام کے معنی
data/raw/book/11.png,امن اور سلامتی ہیں، اسلام صرف مسلمانوں ہی
data/raw/book/12.png,کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتا ہے۔
data/raw/book/13.png,قرآن مجید میں اللہ تعالیٰ کا فرمان بالکل واضح ہے کہ ترجمہ:
data/raw/book/14.png,میرا دین میرے ساتھ، تمہارا دین تمہارے ساتھ، قرآن مجید میں
data/raw/book/15.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ
data/raw/book/16.png,ترجمہ: دین میں کوئی جبر نہیں، اللہ تعالیٰ اپنے
data/raw/book/17.png,اس فرمان میں صاف لفظوں میں بتایا ہے کہ اسلام
data/raw/book/18.png,جبر اور انتہا پسندی کا نہیں اعتدال پسندی کا درس دیتا ہے، مذہبی
data/raw/book/19.png,انتہا پسندی اسلام کی تعلیمات کی نفی ہے۔ الطاف حسین نے
data/raw/book/20.png,کہا کہ جہاں انتہا پسندی ہو گی وہاں امن وسلامتی اور اتحاد
data/raw/book/21.png,سب سے خطرناک اور دردناک آنسو وہ سیدھا دل پر جا کے لگتا ہے۔ ثناء فرید
data/raw/book/22.png,1947ء کے دوران متحدہ ایک برس پاکستان کے حصے میں آیا تھا جس کی حالت نازک تھی NWFP سے مسلم اکثریت کے صرف دو ہی اخبار نکلتے تھے۔ دہلی آزاد مانگ اور نجوم مانگ کے بعد دھاکر منتقل ہو گیا تھا۔ جیک دوسری جگہوں سے چھپنے والے اخبارات ڈان اور جنگ اور اہم تھے نام انگلش پیپرز کا معیار زیادہ اچھا اینس تھا۔ 14 اگست 1947ء کو پہلا لاؤڈ اسپیکر سسٹم پاکستان کارپوریشن قائم ہوا۔ اس وقت بہاڑت سے والا سلٹر ہوا تھا۔ کچھ نئے اسٹیشنز کے بعد میں جیسے ریڈیو اسٹیشن 1948ء میں کراچی اور لاہوریٹی میں۔
data/raw/book/23.png,"عبدالستار ایدھی 1928ء انڈیا کے ایک علاقے میں کاٹھیاواڑ میں پیدا ہوئے۔ عالد نجسبی میں اپنا کاروبار کرتے تھے۔ لیکن اس سے علاوہ انہیں کچھ اور لگنا او رزوجفہ ہیں سال 24 کی عمر میں پاکستان کی آزادی کے چھٹے دن کراچی آئے۔ اس وقت وہ ایک چھوٹا سا اسٹور تھا اور دوسرے پاکستان اور رزگاون کی طرح رہے ہیں مہاجرین کی آبادکاری کا مثال درپیش تھا اور تقریباً 150,000 مہاجرین اس وقت کراچی میں مقیم ہوئے۔ محض 24 برس کی عمر میں انہوں نے اپنی چھوٹی سی دکان کو اتنا بڑھا دیا کہ 2 لاکھ روپے میں ایک 655 سے زائد فاؤنڈیشن سینٹر قائم کر لیں۔ ان کا لینا پاکستان کی باقی 96 لوگوں کا حق مار رکھا۔ اور نئی تنظیمیں ادا کرتے ہیں اور دیگر لوگوں کی ترقی کے حصول میں لوٹی رہی تمام کرتے ہیں۔"
data/raw/book/24.png,(20 ذی الحج 1163ھ / 20 نومبر 1749ء - 29 ذی قعدہ 1213ھ / 4 مئی 1799ء) میسورستان کی سلطنت کے میسور کا آخری فرمانروا شیر میسور نواب حیدر علی کا بیٹا تھا۔ میسورستان کا پہلا شہید بیوی علی کے یہاں پیدا ہوا۔ تاریخ حیدر خان کے مصنف محب الحسن خان کی روایت کے مطابق 1767ء میں نظام دکن نے شیر کو فتح علی خان بیدر کا خطاب دیا تھا۔ نشان حیدری کے مولف حسین کرمانی کے بقول حیدر علی نے ایک وقت نجیبو کی سرکردگی میں روانہ دیا۔ جہاں نجیبو مہلا۔ 1765ء نجیبو سلطان فوجی زندگی میں پہلی بار امداد سامنے آئے جب وہ حیدر علی خان کے ساتھ ملا حملہ اور یو نکلتے۔ 19 جون 1767ء کو نجیبو سلطان صراص الملقب میں اس نے تین مضامین میں چھپیب مار بھا تھا۔ اس وقت میسور بار سلطان حیدر علی میں حملہ اور یوسف۔
data/raw/book/25.png,"پاکستان بننے کے بعد
پاکستان بننے کے بعد
پاکستان بننے کے بعد"
data/raw/book/26.png,جو شخص اپنی حقیقت کو نہیں پہچانتا وہ اپنی اصلاح کی ضرورت بھی محسوس نہیں کرتا۔ نبہا
data/raw/book/27.png,اگر تم اپنے لیے آسان کام چھوڑ گئے تو
data/raw/book/28.png,دودھ میں اگر آب زمزم بھی ملا دیا جائے تو دودھ خاص نہیں رہتا۔ یہی بدعت
data/raw/book/29.png,یا اللہ جو تو نے عطا کیا اور جو تو نے عطا نہیں کیا اور جو تو نے دے کر لیا اس سب پر تیرا شکر کیونکہ جو تو نے عطا کیا وہ تیری نعمت جو تو نے عطا نہیں کیا اس میں تیری حکمت
data/raw/book/30.png,خاموشی کبھی کبھی تفصیل سے جواب ہے
data/raw/book/31.png,اولاد بوجھ نہیں ہیں، والدین مالی ہیں۔ بوڑھوں کو پانی نہ دیئے تو خشک ہو جاتے ہیں۔ ان بوڑھوں کا پانی ماں باپ کے آنسوں میں اور پانی لگانے کا وقت تھا جو والدین غازہ سی نہ بڑھتے ہوں ان کے بوڑھوں کی کیا حالت ہوگی۔
data/raw/book/32.png,کاش میں سیکھری کے جو دیکھا اس علاقے کو کوئی نہیں کوئی فرق تیرے نزدیک ہو گیا
data/raw/book/33.png,تیرے خوشی ایک دن تمہیں بھی اس نودان اور اپنے میٹھے سے پہچان لیا
