image,text
data/raw/newspaper/1.png,ایران کے گلستان صوبے میں واقع آقتکہ خان ریلوے پل پر امریکی حملے نے ایران کے اہم ترین ٹرانزٹ راستوں میں سے ایک کی جانب توجہ مبذول کروا دی ہے۔
data/raw/newspaper/2.png,روان سال فروری میں، ایران کے خلاف امریکہ اور اسرائیل کی جنگ کے دوران، تہران، البرز، قزوین، اصفہان، زنجان اور مشرقی آذربائیجان صوبوں میں کم از کم چھ ریلوے پلوں کو نشانہ بنایا گیا۔
data/raw/newspaper/3.png,اس پل کی اہمیت کو دو اہم بین الاقوامی راستوں کے تناظر میں سمجھنا چاہیے۔
data/raw/newspaper/4.png,ایرانی ریلوے حکام کے مطابق، گذشتہ سال کم از کم 65 مال بردار ٹرینیں چین سے ایران پہنچیں۔
data/raw/newspaper/5.png,پٹرول سے سیرامکس تک تجارت کا ایک اہم راستہ
data/raw/newspaper/6.png,حالیہ برسوں میں ایران اور چین کے درمیان تجارت کے پھیلاؤ کے ساتھ اس راستے پر کنٹینر نقل و حمل کا حصہ بھی بڑھا ہے۔
data/raw/newspaper/7.png,کیا اس راستے نے پابندیوں کے اثرات کو کم کرنے میں کوئی کردار ادا کیا ہے؟
data/raw/newspaper/8.png,ایران کی ریلوے نے اعلان کیا ہے کہ اس نے حملے کے فوراً بعد متاثرہ حصوں کی بحالی کا کام شروع کر دیا تھا۔
data/raw/newspaper/9.png,اگر بحالی کا کام منصوبے کے مطابق جاری رہا تو اس راستے میں آپریشنل رکاوٹ عارضی ثابت ہوگی۔
data/raw/newspaper/10.png,یہ راستہ روس، چین اور وسطی ایشیائی ممالک کے ساتھ ایران کے اقتصادی تعلقات کے فروغ میں اہم کردار ادا کر رہا ہے۔
data/raw/newspaper/11.png,چیئرمین پیپلز پارٹی بلاول بھٹو زرداری نے نام لیے بغیر مسلم لیگ ن کو تنقید کا نشانہ بناتے ہوئے کہا۔
data/raw/newspaper/12.png,پیٹرول ختم ہونے کا اشارہ دینے والی لائٹ روشن ہونے پر گاڑی کتنا فاصلہ طے کر سکتی ہے؟
data/raw/newspaper/13.png,کل بلاول نے کسی کا گلا پکڑا پھر ساری رات پیر پکڑ کر بیٹھے رہے: عظمیٰ بخاری
data/raw/newspaper/14.png,لاہور: وزیراطلاعات پنجاب عظمیٰ بخاری کا کہنا ہے کہ آزاد کشمیر کے الیکشن میں عوام نے ترقی یافتہ کوڈ سے تسلیم کرنا چاہیے۔
data/raw/newspaper/15.png,پاکستان ہاکی فیڈریشن نے ورلڈ کپ سے قبل عماد بٹ کو پاکستان ہاکی ٹیم کی کپتانی سے ہٹادیا اور ابوبکر کو پاکستان ہاکی ٹیم کا نیا کپتان مقرر کردیا۔
data/raw/newspaper/16.png,پی ایچ ایف نے اس امید کا اظہار کیا ہے کہ ابوبکر کی قیادت میں سینئر کھلاڑیوں کے تجربے اور نوجوان کھلاڑیوں کی صلاحیتوں کی بدولت ٹیم ایک متحد اور مضبوط انداز میں آگے بڑھے گی۔
data/raw/newspaper/17.png,سابق ٹیسٹ کرکٹر محمد خلیل کی 10 ماہ کی بیٹی کرنٹ لگنے سے انتقال کر گئی
data/raw/newspaper/18.png,محمد خلیل نے تصدیق کی ہے کہ ان کی 10 ماہ کی بیٹی کو کرنٹ لگنے سے انتقال کرگئی ہے۔
